rank,ticker,name,status,normal_a_ready,financial_gate,event_gate,qualitative_gate,risk_gate,ev_gate,reliability_gate,overheat_gate,expected_value_pct,risk_score,reliability,one_year_pct,max_dd5_pct,d20_excess_pct,financial_evidence,event_evidence,qualitative_evidence,blocking_reason,next_work
81,6501.T,日立製作所,通常A不可（イベント反証）,NO,通過,反証,通過,通過,通過,通過,通過,8.97,47.4,100.0,31.9,-38.7,-13.12,売上収益+8.2%・調整後営業利益+23.4%・Adjusted EBITA+21.0%・親会社株主帰属利益+30.3%・EPS176.76円・ROE12.9%・BPS1459.71円・調整後営業利益率11.3%・FY2027会社予想売上+4.8%/調整後営業利益+9.6%を確認,Hitachi Announces Consolidated Financial Results for Fiscal 2025 / 開示日基準 / D+1 -4.75% / D+5 -11.40% / D+20 -13.12% / イベント反証,AIインフラ・電力・デジタル: 主要公式財務はpass。ただし決算後20営業日は対日経平均-13.12%。 / AIインフラや電力テーマはあるが、直近反応が弱いため初回は小口まで。 ｜ DSS・AI・Lumada・フィジカルAI: DSSは過去最高益更新。国内DX/モダナイゼーション売上はYoY+7%。GlobalLogic等のシナジー売上はQ4ドルベースYoY+44%。HMAXをグローバルにローンチ。 / AIやフィジカルAIの言葉だけでは使わず、DSS売上・利益率・GlobalLogic/HDS・HMAXの実績とセットで補助根拠にする。決算後20営業日反応は弱いため初回増額根拠にはしない。 ｜ エナジー・電力網・データセンター周辺: FY2026見通しでエナジー売上3…,決算後20営業日で指数比が弱い,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
82,1605.T,INPEX,通常A不可（イベント反証）,NO,不足,反証,不足,通過,通過,不足,通過,8.96,50.9,62.0,100.9,-32.9,-12.81,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,"Support Material Financial Results for the three months ended March 31, 2026 / 開示日基準 / D+1 0.72% / D+5 7.01% / D+20 -12.81% / イベント反証",公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(62),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
83,7012.T,川崎重工業,通常A不可（イベント反証）,NO,通過,反証,通過,通過,通過,通過,通過,6.72,43.6,70.0,59.2,-42.6,-16.63,"連結受注高2兆7,391億円(+1,084億円)、売上収益2兆3,112億円(+1,819億円)、事業利益1,451億円(+19億円)、親会社所有者帰属当期利益1,081億円(+201億円)、事業利益率6.3%、税後ROIC9.0%、ROE13.7%、BPS1,050.57円、FY2027会社予想売上収益2,560,000百万円(+10.8%)、事業利益170,000百万円(+17.2%)、EPS131.61円",2026年3月期決算 / 開示前営業日基準 / D+1 6.42% / D+5 -7.13% / D+20 -16.63% / 反証注意,防衛・エネルギー・ロボット: 公式決算短信で、航空宇宙システムは防衛省向け・民間航空機向けで増収増益、エネルギーソリューション&マリンはLNG基地大型増強工事等を受注、精密機械・ロボットでは半導体製造装置向けロボット増加を確認。 / 公式テーマ接続は補助使用可。ただし価格未取得、イベント反応未接続、不正事案の継続確認が残るため、買付根拠にはしない。,決算後20営業日で指数比が弱い,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
84,2802.T,味の素,通常A不可（イベント反証）,NO,通過,反証,通過,通過,通過,通過,通過,6.42,57.3,70.0,45.9,-25.6,-4.15,"売上収益1,583,719百万円(+3.5%)、事業利益181,163百万円(+13.7%)、親会社所有者帰属当期利益134,675百万円(+91.6%)、EPS138.36円、ROE17.7%、BPS804.24円、営業CF239,351百万円、FY2027会社予想は売上収益1,723,000百万円(+8.8%)、事業利益197,000百万円(+8.7%)を確認。","Consolidated Financial Results for the Fiscal Year Ended March 31, 2026 (Under IFRS) / 開示日基準 / D+1 1.64% / D+5 12.07% / D+20 -4.15% / イベント反証",食品・ABF・ヘルスケア: 売上収益+3.5%、事業利益+13.7%、ROE17.7%、FY2027会社予想で売上・事業利益増を公式資料で確認。食品安定性とABF/ヘルスケア成長を補助根拠化。 / 高PERとイベント後軽微マイナスが残るため、上昇主力ではなく分散枠。決算・価格条件が崩れたら減額する。,決算後20営業日で指数比が弱い,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
85,8725.T,MS&AD,通常A不可（イベント反証）,NO,不足,反証,不足,通過,通過,不足,通過,6.33,61.1,62.0,34.7,-32.6,-13.79,公式決算原本照合,2026年3月期 決算説明資料 / 開示日基準 / D+1 -4.73% / D+5 -11.63% / D+20 -13.79% / イベント反証,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(62),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
86,5020.T,ENEOS HD,通常A不可（イベント反証）,NO,通過,反証,通過,通過,通過,通過,通過,6.25,60.4,70.0,96.7,-29.9,-9.56,"原油調達先の多様化、ホルムズ海峡を経由しない調達、国家備蓄原油活用、機動的な製品輸入、生産振替などの安定供給策を確認。海外事業・トレーディング拡大、営業利益+1,100億円、キャッシュフロー+2,500億円の改善目標、1株配当34円、総還元性向50%以上、在庫影響除き当期利益2,642億円+4,000億円を確認。",2025年度決算および2026年度業績見通し / 開示日基準 / D+1 7.35% / D+5 0.94% / D+20 -9.56% / イベント反証,資源・エネルギー・供給網・原油調達: 公式資料で原油調達先多様化、ホルムズ海峡非経由調達、国家備蓄活用、機動的輸入、生産振替、海外事業・トレーディング拡大、還元方針を確認。中東・原油イベントに対する供給網対応を質的根拠化。 / 原油価格・マージン・中東情勢の影響が大きい。イベント後反応は弱いため、通常10社に入れても比率は抑える。,決算後20営業日で指数比が弱い,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
87,8001.T,伊藤忠商事,通常A不可（イベント反証）,NO,不足,反証,不足,通過,通過,通過,通過,5.97,63.4,70.0,31.2,-27.9,-21.4,公式決算原本照合,"Consolidated Financial Results for the Fiscal Year Ended March 31, 2026 / 開示日基準 / D+1 -4.47% / D+5 -1.18% / D+20 -21.40% / イベント反証",公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
88,1812.T,鹿島,通常A不可（イベント反証）,NO,不足,反証,不足,通過,通過,不足,通過,5.9,52.5,54.0,65.8,-29.0,-14.41,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,2026年3月期決算短信〔日本基準〕(連結) / 開示日基準 / D+1 -3.57% / D+5 -8.09% / D+20 -14.41% / イベント反証,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
89,1802.T,大林組,通常A不可（イベント反証）,NO,不足,反証,不足,通過,通過,不足,通過,5.64,55.3,62.0,58.7,-26.8,-17.52,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,2026年3月期 決算説明資料 / 開示日基準 / D+1 -2.84% / D+5 -5.68% / D+20 -17.52% / イベント反証,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(62),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
90,1801.T,大成建設,通常A不可（イベント反証）,NO,不足,反証,不足,通過,通過,不足,通過,5.4,43.8,54.0,85.2,-33.7,-20.1,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,"Consolidated Financial Results for the Fiscal Year Ended March 31, 2026 (FY2025) [Japanese GAAP] / 開示日基準 / D+1 -6.43% / D+5 -14.06% / D+20 -20.10% / イベント反証",公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
91,1803.T,清水建設,通常A不可（イベント反証）,NO,不足,反証,不足,通過,通過,不足,通過,4.42,53.3,54.0,72.1,-28.4,-33.87,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,2026年３月期 決算短信〔日本基準〕（連結） / 開示日基準 / D+1 -10.60% / D+5 -17.11% / D+20 -33.87% / イベント反証,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
92,5019.T,出光興産,通常A不可（イベント反証）,NO,通過,反証,通過,通過,通過,不足,通過,3.65,56.8,54.0,57.8,-29.7,-8.21,"売上高81,059億円(-11.8%)、営業利益2,122億円(+30.8%)、営業+持分2,147億円(+16.2%)、在庫影響除き営業+持分2,441億円(+13.7%)、経常利益2,296億円(+6.9%)、当期純利益1,719億円(+65.2%)、在庫影響除き当期純利益1,923億円(+54.1%)、ROE10.6%、配当36円、総還元性向50%以上を確認。",2025年度 決算説明資料 / 開示日基準 / D+1 -1.20% / D+5 2.24% / D+20 -8.21% / イベント反証,資源・エネルギー・ナフサ/原油・還元: 公式資料で営業利益+30.8%、在庫影響除き営業+持分+13.7%、ROE10.6%、配当36円、総還元性向50%以上、原油・ナフサ調達、中東情勢と原油価格の影響を確認。 / 原油価格下落・タイムラグが利益に逆風。イベント後反応は弱いため、通常10社に入れても比率は抑える。,決算後20営業日で指数比が弱い / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
93,6301.T,コマツ,通常A不可（イベント反証）,NO,不足,反証,不足,通過,通過,不足,通過,2.59,53.4,54.0,51.8,-31.4,-17.34,公式決算原本照合,2025年度決算説明会（資料） / 開示日基準 / D+1 -3.31% / D+5 -7.69% / D+20 -17.34% / イベント反証,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
94,6702.T,富士通,通常A不可（イベント反証）,NO,不足,反証,不足,通過,通過,不足,通過,1.81,44.8,66.0,7.5,-33.2,-15.39,公式決算原本照合,（訂正）「2025年度 決算概要」の一部訂正について / 開示日基準 / D+1 -2.84% / D+5 -2.88% / D+20 -15.39% / イベント反証,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(66),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
95,4519.T,中外製薬,通常A不可（イベント反証）,NO,不足,反証,不足,通過,通過,通過,通過,1.53,51.7,70.0,6.9,-29.1,-20.79,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,2026年12月期第1四半期連結決算〔IFRS〕 補足資料 / 開示日基準 / D+1 -17.20% / D+5 -13.70% / D+20 -20.79% / イベント反証,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
96,9766.T,コナミグループ,通常A不可（イベント反証）,NO,不足,反証,不足,通過,通過,不足,通過,1.18,43.3,54.0,-3.4,-36.9,-3.2,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,2026年３月期 決算短信〔ＩＦＲＳ〕（連結） / 開示日基準 / D+1 10.72% / D+5 4.80% / D+20 -3.20% / イベント反証,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
97,7202.T,いすゞ自動車,通常A不可（イベント反証）,NO,不足,反証,不足,通過,防御枠,不足,通過,0.6,56.3,54.0,23.9,-26.5,-7.42,公式決算原本照合,"Consolidated Financial Results for the Fiscal Year Ended March 31, 2026 (Under IFRS) / 開示日基準 / D+1 4.87% / D+5 1.81% / D+20 -7.42% / イベント反証",公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 期待値が低い(0.6%) / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
98,9697.T,カプコン,通常A不可（イベント反証）,NO,不足,反証,不足,通過,防御枠,不足,通過,0.52,36.7,54.0,-27.2,-38.0,-14.39,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,"Consolidated Financial Results for the Fiscal Year Ended March 31, 2026 (Under Japanese GAAP) / 開示日基準 / D+1 -6.52% / D+5 1.05% / D+20 -14.39% / イベント反証",公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 期待値が低い(0.52%) / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
99,9434.T,ソフトバンク,通常A不可（イベント反証）,NO,不足,反証,不足,防御枠,防御枠,不足,通過,0.36,76.1,54.0,1.5,-14.5,-6.18,公式決算原本照合,2026年３月期 決算短信〔ＩＦＲＳ〕（連結） / 開示日基準 / D+1 -1.65% / D+5 4.01% / D+20 -6.18% / イベント反証,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / リスクスコア高め(76.1) / 期待値が低い(0.36%) / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
100,6201.T,豊田自動織機,通常A不可（イベント反証）,NO,不足,反証,不足,通過,防御枠,不足,通過,0.24,51.4,54.0,14.5,-43.2,-11.56,公式決算原本照合 / PER,2026年3月期 決算短信〔ＩＦＲＳ〕(連結) / 開示日基準 / D+1 1.10% / D+5 -4.15% / D+20 -11.56% / イベント反証,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 期待値が低い(0.24%) / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
